Nodi 48
7 17 6
7 18 5
7 19 5
7 20 4
7 21 6
7 22 5
7 23 5
7 24 5
7 25 2
7 26 4
7 27 5
7 28 4
7 29 5
7 30 6
7 31 7
7 32 4
7 33 3
7 34 5
7 35 5
7 36 5
7 37 7
7 38 8
7 39 5
7 40 6
7 41 8
7 42 2
7 43 7
7 44 6
7 45 5
7 46 4
7 47 6
8 9 6
8 10 4
8 11 2
8 12 5
8 13 2
8 14 6
8 15 4
8 16 4
8 17 4
8 18 2
8 19 4
8 20 6
8 21 5
8 22 4
8 23 3
8 24 2
8 25 5
8 26 4
8 27 5
8 28 4
8 29 4
8 30 4
8 31 6
8 32 4
8 33 5
8 34 2
8 35 2
8 36 5
8 37 6
8 38 5
8 39 4
8 40 3
8 41 6
8 42 2
8 43 5
8 44 5
8 45 4
8 46 4
8 47 6
9 10 6
9 11 4
9 12 3
9 13 4
9 14 5
9 15 7
9 16 6
9 17 3
9 18 6
9 19 6
9 20 7
9 21 7
9 22 5
9 23 6
9 24 7
9 25 3
9 26 5
9 27 6
9 28 5
9 29 6
9 30 7
9 31 8
9 32 7
9 33 7
9 34 5
9 35 5
9 36 5
9 37 7
9 38 8
9 39 6
9 40 7
9 41 6
9 42 7
9 43 2
9 44 7
9 45 5
9 46 3
9 47 6
10 11 5
10 12 8
10 13 4
10 14 6
10 15 5
10 16 7
10 17 5
10 18 4
10 19 6
10 20 4
10 21 6
10 22 3
10 23 7
10 24 4
10 25 4
10 26 6
10 27 4
10 28 4
10 29 6
10 30 4
10 31 8
10 32 6
10 33 5
10 34 6
10 35 6
10 36 6
10 37 5
10 38 9
10 39 6
10 40 7
10 41 6
10 42 4
10 43 6
10 44 7
10 45 7
10 46 6
10 47 6
11 12 3
11 13 4
11 14 6
11 15 6
11 16 2
11 17 6
11 18 4
11 19 5
11 20 6
11 21 6
11 22 6
11 23 5
11 24 3
11 25 6
11 26 4
11 27 4
11 28 5
11 29 5
11 30 5
11 31 7
11 32 4
11 33 5
11 34 4
11 35 4
11 36 4
11 37 6
11 38 7
11 39 5
11 40 5
11 41 5
11 42 4
11 43 4
11 44 6
11 45 6
11 46 4
11 47 6
12 13 5
12 14 4
12 15 6
12 16 5
12 17 3
12 18 4
12 19 6
12 20 9
12 21 6
12 22 5
12 23 6
12 24 6
12 25 6
12 26 5
12 27 5
12 28 5
12 29 3
12 30 7
12 31 5
12 32 7
12 33 7
12 34 7
12 35 5
12 36 6
12 37 4
12 38 8
12 39 5
12 40 8
12 41 6
12 42 7
12 43 5
12 44 5
12 45 5
12 46 6
12 47 3
13 14 6
13 15 5
13 16 5
13 17 6
13 18 4
13 19 3
13 20 5
13 21 3
13 22 6
13 23 5
13 24 4
13 25 7
13 26 3
13 27 5
13 28 3
13 29 2
13 30 6
13 31 4
13 32 3
13 33 5
13 34 4
13 35 4
13 36 7
13 37 5
13 38 6
13 39 2
13 40 5
13 41 5
13 42 4
13 43 6
13 44 3
13 45 5
13 46 6
13 47 5
14 15 6
14 16 8
14 17 6
14 18 5
14 19 3
14 20 8
14 21 5
14 22 7
14 23 3
14 24 7
14 25 2
14 26 5
14 27 5
14 28 6
14 29 7
14 30 7
14 31 9
14 32 7
14 33 5
14 34 8
14 35 5
14 36 5
14 37 5
14 38 7
14 39 7
14 40 8
14 41 6
14 42 6
14 43 6
14 44 7
14 45 5
14 46 7
14 47 7
15 16 4
15 17 5
15 18 2
15 19 6
15 20 7
15 21 6
15 22 4
15 23 3
15 24 6
15 25 5
15 26 2
15 27 6
15 28 4
15 29 6
15 30 2
15 31 6
15 32 6
15 33 7
15 34 2
15 35 4
15 36 4
15 37 6
15 38 6
15 39 6
15 40 5
15 41 4
15 42 5
15 43 5
15 44 4
15 45 7
15 46 6
15 47 4
16 17 8
16 18 6
16 19 6
16 20 4
16 21 4
16 22 6
16 23 7
16 24 5
16 25 7
16 26 5
16 27 6
16 28 3
16 29 5
16 30 6
16 31 6
16 32 2
16 33 7
16 34 2
16 35 6
16 36 6
16 37 4
16 38 5
16 39 5
16 40 6
16 41 5
16 42 6
16 43 5
16 44 6
16 45 8
16 46 6
16 47 7
17 18 4
17 19 3
17 20 8
17 21 5
17 22 2
17 23 4
17 24 6
17 25 6
17 26 3
17 27 5
17 28 5
17 29 6
17 30 6
17 31 7
17 32 7
17 33 4
17 34 6
17 35 2
17 36 7
17 37 4
17 38 5
17 39 7
17 40 5
17 41 5
17 42 4
17 43 3
17 44 5
17 45 2
17 46 6
17 47 5
18 19 6
18 20 8
18 21 7
18 22 2
18 23 5
18 24 4
18 25 3
18 26 4
18 27 7
18 28 6
18 29 6
18 30 4
18 31 7
18 32 6
18 33 6
18 34 4
18 35 4
18 36 6
18 37 4
18 38 7
18 39 6
18 40 5
18 41 6
18 42 3
18 43 7
18 44 4
18 45 6
18 46 6
18 47 6
19 20 7
19 21 2
19 22 4
19 23 4
19 24 6
19 25 5
19 26 4
19 27 2
19 28 4
19 29 5
19 30 5
19 31 7
19 32 6
19 33 2
19 34 6
19 35 2
19 36 5
19 37 2
19 38 4
19 39 5
19 40 6
19 41 3
19 42 5
19 43 5
19 44 5
19 45 2
19 46 7
19 47 4
20 21 8
20 22 7
20 23 7
20 24 8
20 25 6
20 26 6
20 27 8
20 28 7
20 29 7
20 30 8
20 31 9
20 32 2
20 33 7
20 34 5
20 35 8
20 36 7
20 37 8
20 38 9
20 39 5
20 40 6
20 41 9
20 42 6
20 43 5
20 44 8
20 45 9
20 46 6
20 47 8
21 22 6
21 23 6
21 24 4
21 25 7
21 26 4
21 27 4
21 28 2
21 29 4
21 30 6
21 31 6
21 32 6
21 33 4
21 34 6
21 35 4
21 36 7
21 37 4
21 38 6
21 39 5
21 40 5
21 41 5
21 42 6
21 43 7
21 44 6
21 45 4
21 46 6
21 47 3
22 23 6
22 24 6
22 25 5
22 26 3
22 27 5
22 28 5
22 29 4
22 30 5
22 31 5
22 32 7
22 33 6
22 34 5
22 35 4
22 36 5
22 37 2
22 38 7
22 39 8
22 40 6
22 41 5
22 42 5
22 43 5
22 44 5
22 45 4
22 46 7
22 47 5
23 24 4
23 25 5
23 26 3
23 27 6
23 28 4
23 29 6
23 30 5
23 31 8
23 32 7
23 33 5
23 34 5
23 35 5
23 36 4
23 37 6
23 38 7
23 39 7
23 40 6
23 41 7
23 42 5
23 43 6
23 44 5
23 45 5
23 46 4
23 47 5
24 25 7
24 26 4
24 27 5
24 28 2
24 29 4
24 30 4
24 31 6
24 32 6
24 33 5
24 34 4
24 35 4
24 36 6
24 37 8
24 38 7
24 39 6
24 40 5
24 41 6
24 42 4
24 43 7
24 44 4
24 45 6
24 46 6
24 47 6
25 26 6
25 27 7
25 28 6
25 29 6
25 30 7
25 31 8
25 32 6
25 33 5
25 34 7
25 35 7
25 36 7
25 37 7
25 38 7
25 39 7
25 40 8
25 41 8
25 42 4
25 43 5
25 44 7
25 45 7
25 46 6
25 47 8
26 27 4
26 28 2
26 29 4
26 30 4
26 31 6
26 32 4
26 33 5
26 34 4
26 35 2
26 36 4
26 37 5
26 38 5
26 39 5
26 40 3
26 41 4
26 42 6
26 43 4
26 44 2
26 45 5
26 46 4
26 47 2
27 28 5
27 29 6
27 30 5
27 31 8
27 32 7
27 33 4
27 34 7
27 35 4
27 36 5
27 37 4
27 38 6
27 39 5
27 40 6
27 41 5
27 42 7
27 43 4
27 44 6
27 45 4
27 46 7
27 47 2
28 29 2
28 30 4
28 31 4
28 32 5
28 33 6
28 34 5
28 35 4
28 36 6
28 37 6
28 38 5
28 39 5
28 40 3
28 41 6
28 42 6
28 43 6
28 44 4
28 45 6
28 46 5
28 47 4
29 30 6
29 31 2
29 32 5
29 33 6
29 34 6
29 35 6
29 36 8
29 37 6
29 38 7
29 39 4
29 40 5
29 41 4
29 42 6
29 43 8
29 44 2
29 45 7
29 46 5
29 47 6
30 31 4
30 32 6
30 33 7
30 34 4
30 35 6
30 36 2
30 37 5
30 38 8
30 39 8
30 40 7
30 41 2
30 42 6
30 43 7
30 44 4
30 45 7
30 46 6
30 47 4
31 32 7
31 33 8
31 34 8
31 35 8
31 36 6
31 37 7
31 38 9
31 39 6
31 40 7
31 41 6
31 42 8
31 43 10
31 44 4
31 45 8
31 46 7
31 47 6
32 33 5
32 34 4
32 35 6
32 36 7
32 37 6
32 38 7
32 39 3
32 40 6
32 41 7
32 42 6
32 43 7
32 44 6
32 45 7
32 46 4
32 47 6
33 34 7
33 35 4
33 36 7
33 37 4
33 38 5
33 39 6
33 40 7
33 41 5
33 42 3
33 43 7
33 44 5
33 45 2
33 46 5
33 47 4
34 35 4
34 36 4
34 37 6
34 38 7
34 39 6
34 40 5
34 41 6
34 42 4
34 43 3
34 44 4
34 45 6
34 46 6
34 47 6
35 36 6
35 37 4
35 38 3
35 39 6
35 40 5
35 41 5
35 42 4
35 43 3
35 44 4
35 45 4
35 46 5
35 47 4
36 37 3
36 38 6
36 39 9
36 40 7
36 41 4
36 42 7
36 43 5
36 44 6
36 45 7
36 46 7
36 47 6
37 38 5
37 39 7
37 40 4
37 41 3
37 42 7
37 43 7
37 44 5
37 45 4
37 46 9
37 47 6
38 39 8
38 40 8
38 41 7
38 42 7
38 43 6
38 44 7
38 45 3
38 46 8
38 47 7
39 40 7
39 41 6
39 42 3
39 43 8
39 44 4
39 45 7
39 46 4
39 47 5
40 41 5
40 42 5
40 43 5
40 44 5
40 45 5
40 46 5
40 47 5
41 42 8
41 43 6
41 44 2
41 45 5
41 46 7
41 47 6
42 43 7
42 44 7
42 45 5
42 46 6
42 47 7
43 44 6
43 45 5
43 46 5
43 47 6
44 45 7
44 46 5
44 47 4
45 46 5
45 47 5
46 47 6
