Nodi 47
4 44 7
4 45 5
4 46 6
5 6 6
5 7 5
5 8 6
5 9 6
5 10 6
5 11 6
5 12 5
5 13 6
5 14 5
5 15 6
5 16 5
5 17 4
5 18 5
5 19 3
5 20 2
5 21 4
5 22 4
5 23 5
5 24 4
5 25 4
5 26 3
5 27 7
5 28 5
5 29 5
5 30 7
5 31 6
5 32 5
5 33 3
5 34 5
5 35 5
5 36 2
5 37 6
5 38 4
5 39 2
5 40 6
5 41 4
5 42 6
5 43 4
5 44 8
5 45 4
5 46 6
6 7 6
6 8 4
6 9 7
6 10 5
6 11 5
6 12 8
6 13 4
6 14 7
6 15 6
6 16 7
6 17 6
6 18 5
6 19 5
6 20 4
6 21 5
6 22 7
6 23 5
6 24 4
6 25 6
6 26 6
6 27 6
6 28 6
6 29 6
6 30 7
6 31 2
6 32 6
6 33 7
6 34 4
6 35 6
6 36 5
6 37 5
6 38 2
6 39 6
6 40 7
6 41 3
6 42 5
6 43 5
6 44 8
6 45 6
6 46 5
7 8 8
7 9 7
7 10 7
7 11 3
7 12 3
7 13 5
7 14 5
7 15 8
7 16 4
7 17 7
7 18 4
7 19 4
7 20 7
7 21 6
7 22 5
7 23 3
7 24 5
7 25 7
7 26 4
7 27 8
7 28 2
7 29 5
7 30 6
7 31 7
7 32 5
7 33 8
7 34 6
7 35 3
7 36 3
7 37 4
7 38 7
7 39 5
7 40 5
7 41 5
7 42 7
7 43 6
7 44 6
7 45 5
7 46 5
8 9 5
8 10 3
8 11 6
8 12 8
8 13 4
8 14 8
8 15 6
8 16 4
8 17 2
8 18 7
8 19 4
8 20 4
8 21 3
8 22 5
8 23 6
8 24 4
8 25 6
8 26 4
8 27 5
8 28 6
8 29 6
8 30 7
8 31 6
8 32 6
8 33 4
8 34 2
8 35 6
8 36 7
8 37 7
8 38 2
8 39 4
8 40 4
8 41 5
8 42 5
8 43 6
8 44 8
8 45 5
8 46 6
9 10 6
9 11 7
9 12 7
9 13 6
9 14 5
9 15 3
9 16 8
9 17 7
9 18 6
9 19 5
9 20 7
9 21 7
9 22 6
9 23 5
9 24 7
9 25 5
9 26 3
9 27 8
9 28 5
9 29 5
9 30 7
9 31 8
9 32 3
9 33 6
9 34 3
9 35 5
9 36 6
9 37 5
9 38 5
9 39 5
9 40 5
9 41 5
9 42 8
9 43 5
9 44 7
9 45 4
9 46 5
10 11 6
10 12 9
10 13 4
10 14 6
10 15 6
10 16 6
10 17 5
10 18 6
10 19 6
10 20 5
10 21 5
10 22 2
10 23 6
10 24 4
10 25 5
10 26 5
10 27 5
10 28 7
10 29 7
10 30 6
10 31 3
10 32 7
10 33 7
10 34 4
10 35 7
10 36 4
10 37 7
10 38 3
10 39 5
10 40 7
10 41 5
10 42 2
10 43 4
10 44 6
10 45 2
10 46 6
11 12 6
11 13 4
11 14 6
11 15 8
11 16 6
11 17 4
11 18 7
11 19 7
11 20 4
11 21 4
11 22 7
11 23 4
11 24 2
11 25 5
11 26 4
11 27 5
11 28 2
11 29 5
11 30 5
11 31 5
11 32 4
11 33 6
11 34 6
11 35 6
11 36 6
11 37 4
11 38 4
11 39 5
11 40 4
11 41 2
11 42 4
11 43 6
11 44 7
11 45 5
11 46 2
12 13 6
12 14 6
12 15 9
12 16 5
12 17 6
12 18 7
12 19 7
12 20 7
12 21 7
12 22 7
12 23 6
12 24 7
12 25 6
12 26 6
12 27 10
12 28 5
12 29 6
12 30 8
12 31 6
12 32 4
12 33 8
12 34 8
12 35 2
12 36 6
12 37 7
12 38 8
12 39 5
12 40 4
12 41 8
12 42 7
12 43 7
12 44 8
12 45 8
12 46 6
13 14 6
13 15 6
13 16 6
13 17 4
13 18 6
13 19 6
13 20 4
13 21 4
13 22 5
13 23 4
13 24 4
13 25 2
13 26 3
13 27 5
13 28 5
13 29 4
13 30 6
13 31 6
13 32 4
13 33 6
13 34 4
13 35 4
13 36 6
13 37 4
13 38 2
13 39 6
13 40 3
13 41 2
13 42 5
13 43 5
13 44 7
13 45 5
13 46 5
14 15 7
14 16 6
14 17 6
14 18 5
14 19 6
14 20 6
14 21 6
14 22 5
14 23 2
14 24 4
14 25 4
14 26 4
14 27 7
14 28 6
14 29 3
14 30 6
14 31 7
14 32 2
14 33 6
14 34 6
14 35 4
14 36 3
14 37 6
14 38 6
14 39 5
14 40 5
14 41 4
14 42 6
14 43 5
14 44 5
14 45 4
14 46 4
15 16 5
15 17 6
15 18 4
15 19 6
15 20 6
15 21 8
15 22 7
15 23 7
15 24 6
15 25 5
15 26 6
15 27 9
15 28 7
15 29 6
15 30 7
15 31 5
15 32 5
15 33 8
15 34 6
15 35 7
15 36 6
15 37 5
15 38 4
15 39 4
15 40 8
15 41 7
15 42 7
15 43 2
15 44 8
15 45 7
15 46 6
16 17 6
16 18 5
16 19 7
16 20 6
16 21 6
16 22 5
16 23 6
16 24 7
16 25 6
16 26 7
16 27 7
16 28 6
16 29 4
16 30 7
16 31 6
16 32 5
16 33 7
16 34 6
16 35 3
16 36 3
16 37 5
16 38 6
16 39 5
16 40 5
16 41 4
16 42 7
16 43 3
16 44 9
16 45 4
16 46 7
17 18 6
17 19 4
17 20 2
17 21 4
17 22 5
17 23 4
17 24 2
17 25 6
17 26 6
17 27 7
17 28 5
17 29 4
17 30 5
17 31 6
17 32 5
17 33 6
17 34 4
17 35 4
17 36 6
17 37 5
17 38 4
17 39 2
17 40 2
17 41 4
17 42 4
17 43 4
17 44 6
17 45 7
17 46 4
18 19 5
18 20 5
18 21 7
18 22 6
18 23 5
18 24 6
18 25 4
18 26 3
18 27 5
18 28 5
18 29 2
18 30 3
18 31 5
18 32 5
18 33 5
18 34 5
18 35 6
18 36 7
18 37 5
18 38 6
18 39 4
18 40 5
18 41 7
18 42 7
18 43 2
18 44 4
18 45 8
18 46 7
19 20 5
19 21 5
19 22 5
19 23 5
19 24 6
19 25 5
19 26 4
19 27 8
19 28 5
19 29 3
19 30 5
19 31 3
19 32 6
19 33 5
19 34 2
19 35 5
19 36 5
19 37 6
19 38 4
19 39 2
19 40 6
19 41 5
19 42 7
19 43 4
19 44 8
19 45 7
19 46 5
20 21 2
20 22 6
20 23 4
20 24 2
20 25 5
20 26 5
20 27 5
20 28 5
20 29 3
20 30 5
20 31 6
20 32 6
20 33 5
20 34 4
20 35 6
20 36 4
20 37 4
20 38 2
20 39 4
20 40 4
20 41 2
20 42 4
20 43 6
20 44 7
20 45 5
20 46 4
21 22 7
21 23 4
21 24 4
21 25 5
21 26 6
21 27 5
21 28 5
21 29 5
21 30 6
21 31 7
21 32 7
21 33 7
21 34 5
21 35 6
21 36 5
21 37 4
21 38 4
21 39 6
21 40 6
21 41 2
21 42 6
21 43 7
21 44 7
21 45 3
21 46 6
22 23 5
22 24 6
22 25 7
22 26 3
22 27 3
22 28 5
22 29 5
22 30 8
22 31 5
22 32 5
22 33 7
22 34 5
22 35 5
22 36 2
22 37 7
22 38 5
22 39 3
22 40 7
22 41 6
22 42 4
22 43 5
22 44 7
22 45 4
22 46 5
23 24 2
23 25 5
23 26 2
23 27 5
23 28 4
23 29 5
23 30 5
23 31 7
23 32 4
23 33 7
23 34 4
23 35 5
23 36 5
23 37 4
23 38 4
23 39 3
23 40 3
23 41 2
23 42 4
23 43 5
23 44 3
23 45 5
23 46 5
24 25 5
24 26 4
24 27 7
24 28 4
24 29 5
24 30 3
24 31 6
24 32 6
24 33 7
24 34 4
24 35 6
24 36 6
24 37 5
24 38 2
24 39 4
24 40 4
24 41 4
24 42 2
24 43 4
24 44 5
24 45 6
24 46 4
25 26 4
25 27 6
25 28 5
25 29 2
25 30 5
25 31 6
25 32 2
25 33 5
25 34 5
25 35 4
25 36 5
25 37 5
25 38 4
25 39 5
25 40 5
25 41 3
25 42 3
25 43 3
25 44 6
25 45 6
25 46 4
26 27 6
26 28 2
26 29 5
26 30 6
26 31 7
26 32 2
26 33 5
26 34 2
26 35 4
26 36 5
26 37 6
26 38 4
26 39 5
26 40 5
26 41 4
26 42 6
26 43 5
26 44 5
26 45 7
26 46 4
27 28 6
27 29 7
27 30 7
27 31 8
27 32 8
27 33 9
27 34 7
27 35 8
27 36 5
27 37 5
27 38 7
27 39 6
27 40 8
27 41 3
27 42 7
27 43 7
27 44 8
27 45 6
27 46 7
28 29 3
28 30 6
28 31 7
28 32 4
28 33 6
28 34 4
28 35 5
28 36 5
28 37 5
28 38 6
28 39 3
28 40 6
28 41 3
28 42 6
28 43 5
28 44 7
28 45 6
28 46 4
29 30 3
29 31 6
29 32 4
29 33 3
29 34 5
29 35 4
29 36 6
29 37 5
29 38 4
29 39 5
29 40 3
29 41 5
29 42 5
29 43 4
29 44 6
29 45 6
29 46 5
30 31 7
30 32 4
30 33 6
30 34 7
30 35 6
30 36 9
30 37 2
30 38 5
30 39 6
30 40 6
30 41 4
30 42 5
30 43 5
30 44 5
30 45 7
30 46 6
31 32 5
31 33 7
31 34 5
31 35 4
31 36 4
31 37 6
31 38 4
31 39 5
31 40 5
31 41 5
31 42 5
31 43 3
31 44 6
31 45 5
31 46 3
32 33 5
32 34 4
32 35 2
32 36 5
32 37 4
32 38 6
32 39 5
32 40 4
32 41 5
32 42 5
32 43 3
32 44 4
32 45 6
32 46 2
33 34 3
33 35 6
33 36 5
33 37 6
33 38 5
33 39 5
33 40 6
33 41 7
33 42 8
33 43 6
33 44 9
33 45 7
33 46 4
34 35 6
34 36 7
34 37 7
34 38 2
34 39 4
34 40 6
34 41 5
34 42 5
34 43 6
34 44 7
34 45 6
34 46 6
35 36 5
35 37 6
35 38 6
35 39 3
35 40 2
35 41 6
35 42 7
35 43 5
35 44 6
35 45 7
35 46 4
36 37 7
36 38 6
36 39 4
36 40 6
36 41 5
36 42 6
36 43 6
36 44 8
36 45 2
36 46 4
37 38 6
37 39 4
37 40 7
37 41 2
37 42 7
37 43 3
37 44 6
37 45 5
37 46 6
38 39 5
38 40 5
38 41 4
38 42 3
38 43 6
38 44 7
38 45 5
38 46 6
39 40 4
39 41 5
39 42 5
39 43 2
39 44 6
39 45 6
39 46 6
40 41 5
40 42 6
40 43 6
40 44 4
40 45 8
40 46 2
41 42 6
41 43 5
41 44 5
41 45 3
41 46 4
42 43 5
42 44 4
42 45 4
42 46 6
43 44 6
43 45 6
43 46 5
44 45 8
44 46 6
45 46 6
